"אינדקס","מקור","תרגום","הערות"
"0","abominable | an | and | another | around | at | baby | bad | been | big | black | brass | buried | carving | ceramic | clay | cloud land | cloudland | cold | daventry | dead | deer skin | deerskin | dining | dried | every | for | front | good | guess | have | hot | hurry | if | in | into | invisibility | invisible | iron | is | it | its | large | later | leather | little | llewdor | mama | metal | mine | my | now | oak | of | oh | old | pair | palm | papa | petal | please | powdered | quickly | rose | sack | sacks | silver | slowly | small | some | soon | sprig | tail | that | the | these | this | those | tin | to | tuft | underground | want | what | when | why | will | wooden | you | your","את | אל | של",
"2","examine | feel | look | look on | see | show | view","הבט | הסתכל | בדוק",
"3","cast | do | fix | perform | prepare","עשה | תקן | ביצע | הכן",
"4","tp","",
"5","quit | stop","צא | עצור",
"6","position","",
"7","slow","איטי | לאט",
"8","normal","רגיל | נורמלי",
"9","fast","מהיר | מהר",
"10","fastest","הכי מהיר | מהירות מרבית | הכי מהר",
"11","priority","",
"12","sp","",
"13","restart","התחל מחדש | אתחל",
"14","capture | catch | get | pick | pick up | take","קח | הרם | טול | לקחת",
"15","reset","אפס | איפוס",
"16","banner | banners | flag | flags","דגל | דגלים",
"18","bye | good bye | so long","שלום | להתראות",
"19","chart","",
"20","bedroom","חדר שינה | חדר מיטות",
"21","var","",
"22","hall | hallway","מסדרון | אולם",
"23","office | study","משרד | חדר עבודה",
"24","who","",
"25","bar | tavern","בר | פונדק | בית מרזח | טברנה",
"26","kitchen","מטבח",
"27","rise | stand","קום | עמוד",
"28","lab | laboratory","מעבדה",
"30","tower","מגדל",
"31","deck | earth | floor | grass | grasses | ground","סיפון | אדמה | רצפה | דשא | קרקע",
"32","spyglass | telescope","משקפת | טלסקופ",
"33","stair | staircase | stairs | stairway | steps | upstairs","מדרגה | מדרגות | גרם מדרגות | למעלה",
"34","glass | pane | window | windows","זכוכית | שמשה | חלון | חלונות",
"35","bug | fly | fly wings | wings","פרפר | זבוב | כנפיים | כנפי זבוב",
"36","lift | open","העלה | פתח",
"37","move | pull | push | replace | shove | turn","הזז | משוך | דחף | החלף | דחוף | סובב",
"38","board | enter | exit | get out | go | leave","צא | עזוב",
"39","climb","טפס",
"40","enchanter | magician | manannan | sorcerer | wiz | wizard","מכשף | קוסם | מנאנן | אשף | מננן",
"41","call | say | shout | speak | talk | yell","אמור | צעק | דבר | צרח",
"42","desert | land | plain | plains","מדבר | ארץ | מישור | ערבה",
"43","looking glass | mirror","מראה | ראי | לשקף,",
"45","bed | beds | bunk | bunks | pillow","מיטה | מיטות | דרגש | כר | כרית",
"47","below | beneath | under","מתחת | למטה | תחת",
"48","above | across | over | top of","מעל | מעבר | על גבי",
"49","treasure | treasure chest","אוצר | תיבת אוצר",
"50","cabinet | closet | cupboard | wardrobe","ארון | ארונית | מלתחה",
"51","drawer | drawers","מגירה | מגירות",
"52","carpet | carpets | rug | rugs","שטיח | שטיחים | מרבד",
"53","out | outside","החוצה | בחוץ",
"54","key","מפתח | מפתח פליז",
"55","last","אחרון | קודם",
"56","add | conceal | dip | drop | drops | hide | include | place | put | return | scrape | set | sprinkle | stack","החבא | הסתר | שים | הוסף | חוזר | השלך | הנח | הורד",
"57","lay | lie","שכב",
"58","aim | point | shake | swing | touch | wave","כוון | הצבע | נער | נדנד | גע | הנף | נפנף | נענע",
"59","top","עליון | ראש | פסגה",
"60","drain | draw | empty | extract | pour | remove | spill | withdraw","רוקן | שאב | הוצא | שפוך | הסר | שפוך | סלק",
"61","drapery | picture | tapestry","וילון | תמונה | שטיח קיר",
"62","back | behind","אחור | מאחור",
"63","door | doors | doorway | doorways","דלת | דלתות",
"64","clothes | gown | gowns | hat | hats | robe | robes | slipper | slippers","בגדים | שמלה | כובע | גלימה | נעל בית",
"65","bolt | latch | lock","בריח | צביר | מנעול",
"66","break | destroy | rip | shatter | smash | tear","שבור | הרוס | קרע | רסק | תקע",
"67","bureau | chest of drawers | dresser","שידת מגירות | שידה",
"68","all | belongings | everything | inventory | item | items | object | objects | possessions | stuff | things","דברים | חפצים | הכל",
"69","hear | listen","שמע | הקשב",
"70","counter | desk | table","דלפק | שולחן | שולחן עבודה",
"71","bookcase | bookshelf | bookshelves | shelf | shelves","ספריה | מדף ספרים | מדף | מדפים",
"72","book | books | page | sorcery of old | volume","ספר | ספרים | דף | כישוף עתיק | כרך",
"73","rod | wand","מטה | שרביט",
"74","handle | lever","ידית | מנוף",
"75","hatch | trapdoor","צוהר | דלת מלכודת",
"76","duster","מנקה אבק",
"77","read","קרא",
"78","clean | dust | sweep | wipe","נקה | נקה אבק | טאטא | מחה",
"79","lard","שומן | שומן חזיר",
"80","fireplace | hearth | mantle","אח | כירה | מדורה",
"81","forest | log | logs | tree | trees | wood | woods","יער | בול עץ | עץ | עצים | עץ | יערות",
"82","begin | build | start","התחל | בנה | הגז",
"83","burn | candle | candles | ignite | light | torch | torches","שרוף | נר | נרות | הדלק | אור | לפיד | לפידים | הבער",
"84","fire | flame | flames","אש | להבה | להבות",
"85","chamber pot | kettle | kettles | pan | pans | pot | pots | skillet | skillets","סיר לילה | קומקום | מחבת | סיר | מחבתות",
"86","nightstand | vanity","שידת לילה | שולחן איפור",
"87","holder | rack","מחזיק | מתלה",
"88","basket | baskets | waste basket | wastebasket","סל | סלים | סל אשפה",
"89","butter churn | churn","חוחת חמאה | מחבץ | התפרצי | טלטלי | סחררי | הסעירי",
"90","ceiling | roof","תקרה | גג",
"91","beam | beams | rafter | rafters","קורה | קורות | קורת גג",
"92","herb | herbs | spice | spices","עשב | עשבים | תבלין | תבלינים",
"93","food | meal","אוכל | ארוחה",
"94","bread | loaf | loaf of bread","לחם | כיכר | כיכר לחם",
"95","apple | fruit | grapes","תפוח | פרי | ענבים | פירות",
"96","chop | meat | mutton | mutton chop","צלע | בשר | כבש | צלע כבש",
"97","drink | eat | swallow | taste","שתה | אכול | בלע | טעם",
"98","ladle | spoon | spoonful | spoonfuls | spoons","מצקת | כף | כפית | כפיות | כפות",
"99","dagger | knife","פגיון | סכין",
"100","carve | chop up | cut | cut up | slice","חצוב | קצוץ | חתוך | פרוס",
"101","basin | bowl | bowls","כיור | קערה | קערות",
"102","broom","מטאטא",
"103","get in | sit | sit down","היכנס | שב",
"104","moose | moosehead","איל | ראש איל",
"105","feed | give | offer | serve","האכל | תן | לתת | שרת",
"106","passage | tunnel","מנהרה",
"107","poison | poisoned","רעל | מורעל",
"108","cap | cork | cover | lid | plug | stopper","כובע | פקק | מכסה | מסגר",
"109","bottle | bottles | empty jar | jar | jars","בקבוק | בקבוקים | צנצנת ריקה | צנצנת | צנצנות",
"110","saffron","זעפרן",
"111","beaker | beakers | flask | flasks | measuring cup | measuring cups | stirrer | stirrers","כוס זכוכית | כוסות זכוכית | בקבוק | בקבוקים | כוס מידה | כוסות מידה | מערבב | מערבבים",
"112","bone | bones | fish bone | fishbone | skeleton | skeletons | skull | skulls","עצם | עצמות | עצם דג | עצם דג | שלד | שלדים | גולגולת | גולגולות",
"113","equipment | implements | instruments","ציוד | כלים | מכשירים",
"114","essence","תמצית",
"115","compound | dough | mixture","תרכובת | בצק | תערובת",
"116","capsule | capsules | vial | vials","קפסולה | קפסולות | בקבוקון | בקבוקונים",
"117","off","כבה",
"118","night shade | nightshade","צל לילה | צל לילה | סולנום",
"119","mandrake","מנדרגורה | דודא",
"120","mushroom | toad stool | toadstool","פטרייה | פטרייה רעילה | פטריית רעל | פטריית רעל | פטריה | פטריה רעילה | פטרית רעל",
"121","spit | spittle","רוק | ריר",
"122","frog | toad","צפרדע | קרפדה",
"123","mortar | mortar and pestle | pestle | pestle and mortar","מכתש | מכתש ועלי | עלי | עלי ומכתש",
"124","brazier | burner","מחתה | מבער | כיריים | פלטה",
"125","crumble | crush | grind | pound","פורר | כתוש | טחן | דפוק",
"126","flour | grain | grains | powder","קמח | דגן | דגנים | אבקה | אבקת",
"127","charcoal | coal","פחם | פחם",
"128","boil | cook | heat | warm","הרתח | בשל | חמם | חמם",
"129","cup | empty cup","כוס | כוס ריקה | ספל | ספל ריק",
"130","ball | balls | piece | pieces","כדור | כדורים | חתיכה | חתיכות | חלקים",
"131","brew | storm brew","חליטה | חליטת סערה",
"132","bird | birds | buzzard | buzzards | chicken | chickens | crow | crows | gull | gulls | seagull | seagulls | vulture | vultures","ציפור | ציפורים | עיט | עיטים | תרנגולת | תרנגולות | עורב | עורבים | שחף | שחפים | שחף ים | שחפי ים | נשר | נשרים",
"133","fur | hair","פרווה | שיער | שערות",
"134","reptile | serpent | snake","זוחל | נחש",
"135","reptile skin | skin | snake skin | snakeskin","עור זוחל | עור | עור נחש | עור נחש",
"136","thimble | thimbleful | thimbles","אצבעון | מלוא אצבעון | אצבעונים",
"137","dew","טל",
"138","fingers | hand | hand full | handful | hands","אצבעות | יד | מלוא יד | מלוא כף | ידיים",
"139","knead | mix | stir","לוש | ערבב",
"140","divide | halve | separate | split","חלק | חצה | הפרד | פצל",
"141","form | make | shape","עצב",
"142","chore | job","משימה | עבודה",
"143","ears","אוזניים",
"144","try | use | using | with","נסה | השתמש | בשימוש | עם",
"145","porridge","דייסה",
"146","status","מצב",
"147","carry | grab | grasp | hold | reach","נשא | תפס | אחז | החזק | הושט | שלח יד | הכנס יד | הושט יד",
"148","hang | suspend","תלה | השעה",
"149","alexander | boy | gwydion | i'm | me | myself | self","אלכסנדר | ילד | גווידיון | אני | אני | עצמי | עצמי",
"150","grains of salt | salt | salt grains","גרגרי מלח | מלח | גרגרי מלח",
"151","mistletoe","דבקון",
"152","rock | rocks | stone | stones","סלע | סלעים | אבן | אבנים",
"153","pat | pet | rub | smear","לטף | ליטף | שפשף | מרח | טפח",
"154","embrace | hug | kiss","חבק | חבק | נשק",
"155","acorn | acorns","בלוט | בלוטים",
"156","flatten | press | spread | squash | squeeze","שטח | לחץ | פזר | מעך | סחט",
"157","sleep | sleeping | slumber","שינה | ישן | נום | תנומה | תרדמה | הרדמו",
"158","fish oil | oil","שמן דג | שמן | שמן דגים",
"159","cookie | patty","עוגייה | לביבה | עוגיה",
"160","liquid | water","נוזל | מים",
"161","mud","בוץ",
"162","bit | pinch","פיסה | קמצוץ",
"163","blow","נשוף | נשוף אויר על | נשוף על",
"164","let go | let go of | release | unfasten | untie","שחרר | שחרר מ | שחרר | התיר | התיר | תתיר",
"165","finger","אצבע",
"166","brush | bush | bushes | plant | plants | shrub | shrubs","מברשת | שיח | שיחים | צמח | צמחים | שיח | שיחים",
"167","cactii | cactus","קקטוסים | קקטוס",
"168","bucket | pail","דלי | דלי",
"169","juice","מיץ | מיץ סולנום",
"170","fill","מלא",
"171","spell | spells","לחש | לחשים",
"172","away","הרחק",
"173","on | on to | onto","על",
"174","look in | look inside | look into | look through","הסתכל פנימה | הסתכל בפנים | הסתכל לתוך | הסתכל דרך",
"175","up","למעלה",
"176","down","למטה",
"177","pouch | pouches","כיס | כיסים | נרתיק | נרתיקים | פאוץ' | פאוצ'ים",
"178","flint","צור",
"179","root","שורש",
"180","fish | fishes","דג | דגים",
"181","chest | trunk","תא מטען | תיבה",
"182","ointment","משחה",
"183","shovel","מגרפה | את חפירה",
"184","unlock","שחרר",
"185","from","מ",
"186","close | shut","סגור | סגור",
"187","coin | coins | gold | money","מטבע | מטבעות | זהב | כסף",
"188","furnishings | furniture","ריהוט | רהיטים",
"189","area | chamber | room","אזור | חדר | חדר",
"190","magic | magical","קסם | קסום",
"191","cage | coop | fence | pen | wall | walls","כלוב | לול | גדר | עט | קיר | קירות",
"192","corner","פינה",
"193","cat | kitty","חתול | חתולה",
"194","dog | kenny | lance | mutt","כלב | קני | לאנס | כלבלב",
"195","storm | storms","סערה | סערות",
"196","shop | store","חנות | חנות",
"197","inside","בפנים",
"198","foot","רגל",
"199","ship | vessel","ספינה | כלי שיט",
"200","boat | lifeboat","סירה | סירת הצלה",
"201","feather | feathers","נוצה | נוצות | נוצת",
"202","amber","ענבר",
"203","number","מספר",
"204","bench | benches | chair | chairs | seat | seats","ספסל | ספסלים | כיסא | כיסאות | מושב | מושבים",
"205","one","אחת | אחד",
"206","two","שתיים | שתי | שני",
"207","three","שלוש | שלושה",
"208","four","ארבע | ארבעה",
"209","five","חמש | חמישה",
"210","six","שש | שישה",
"211","seven","שבע | שבעה",
"212","eight","שמונה | שמונה",
"213","nine","תשע | תשעה",
"214","ten","עשר | עשרה",
"215","gimme","תן לי",
"216","smell | sniff","הרח | הרח",
"217","glint","נצנוץ",
"218","throw | toss","זרוק | השלך",
"219","begone","לך מכאן | הסתלק",
"220","ii","שני | שתים",
"221","iv","ארבע | רביעי",
"222","vii","שבע | שביעי",
"223","xiv","ארבע עשרה",
"224","xxv","עשרים וחמש",
"225","lxxxiv","שמונים וארבע",
"226","clxix","מאה שישים ותשע",
"228","head","ראש",
"229","kill | murder | slay | stab","הרוג | רצח | הרוג | דקור",
"230","half | one-half","חצי | חצי",
"231","pluck","מרוט",
"232","wake | wake up","התעורר | התעורר",
"233","knob | knobs","ידית | ידיות",
"234","programmed | wrote","תוכנת | כתב",
"235","save","שמור",
"236","restore","שחזר",
"237","game","משחק",
"238","map | scroll","מפה | מגילה",
"239","barrel | barrels | keg | kegs","חבית | חביות | חבית | חביות",
"240","crows nest | crowsnest","קן עורבים | קן עורבים",
"241","flower | flowers","פרח | פרחים",
"242","sky","שמיים",
"243","mast","תורן",
"244","canyon | chasm | gorge | valley","קניון | תהום | עמק | בקעה",
"245","ladder | rope ladder","סולם | סולם חבל",
"246","bluff | bluffs | cliff | cliffs | hill | hills | mountain | mountains | peak | peaks","צוק | צוקים | צוק | צוקים | גבעה | גבעות | הר | הרים | פסגה | פסגות",
"247","cloud | clouds | fog","ענן | עננים | ערפל",
"248","path | trail","נתיב | שביל",
"249","how","איך",
"250","length | long","אורך | ארוך",
"251","time","זמן",
"252","play | playing | ski","שחק | משחק | סקי",
"253","help","עזרה",
"255","hole | porthole","חור | חלון עגול",
"256","rope","חבל",
"257","creek | river | stream | waterfall","נחל | נהר | זרם | מפל",
"258","bear | bears","דוב | דובים",
"259","garden | yard","גן | חצר",
"260","bang | knock","דפיקה | דפוק",
"261","hit | kick | punch | strike","היכה | בעט | אגרוף | הכה",
"262","spiderweb | web","קורי עכביש | רשת",
"263","cave | cavern | caves","מערה | מערה | מערות",
"264","spider | spiders","עכביש | עכבישים",
"265","building | buildings | cottage | hide out | hide-out | hideout | house | houses | shack | tree house | treehouse","בניין | בניינים | קוטג' | מחבוא | מחבוא | מחבוא | בית | בתים | צריף | בית עץ | בית עץ",
"266","town | village","עיר | כפר",
"267","dock | pier | wharf","רציף | מזח | מזח",
"268","bay | ocean | sea | waves","מפרץ | אוקיינוס | ים | גלים",
"269","beach | sand","חוף | חול",
"270","gate","שער",
"271","here | there","כאן | שם",
"272","anchor","עוגן",
"273","dive | swim","צלול | שחה",
"274","crystal | crystal ball","קריסטל | כדור בדולח",
"276","goods | supplies | wares","סחורות | אספקה | מוצרים",
"277","rob | steal | swipe","שדוד | גנב | גנב",
"278","ale | beer | booze | liquor | rum | wine","בירה | בירה | אלכוהול | משקה חריף | רום | יין",
"281","sword | swords","חרב | חרבות",
"282","buy | order | purchase | spend","קנה | הזמן | רכש | הוצא",
"284","bandit | bandits | captain | captains | clerk | crew | customers | dwarf | ghost | gnome | guard | guy | guys | image | king | man | men | oracle | pirate | pirates | rogue | rogues | sailor | sailors | sentry | shop keeper | shopkeeper | storekeeper","שודד | שודדים | קפטן | קפטנים | פקיד | צוות | לקוחות | גמד | רוח רפאים | גנום | שומר | בחורים | דמות | מלך | גבר | גברים | אורקל | פיראט | פיראטים | נוכל | נוכלים | מלח | מלחים | זקיף | בעל חנות | בעל חנות | בעל מחסן",
"285","barmaid | bartender | girl | medusa | princess | princess rosella | queen | rosella | statue | waitress | woman","מלצרית | ברטנדר | ילדה | מדוזה | נסיכה | הנסיכה רוזלה | מלכה | רוזלה | פסל | מלצרית | אישה",
"286","animal | animals | squirrel | squirrels","חיה | חיות | סנאי | סנאיים",
"287","lizard | lizards","לטאה | לטאות",
"289","oven | stove | woodstove","תנור | כיריים | כיריים עץ",
"290","jump","קפוץ",
"291","bin | bins | box | boxes | crate | crates","פח | פחים | ארגז | ארגזים | ארגז | ארגזים | קופסא",
"292","well","באר",
"293","castle | palace","טירה | ארמון",
"294","porch","מרפסת",
"295","name","שם",
"296","snow","שלג",
"297","thank | thank you | thanks","תודה | תודה לך | תודות",
"298","find | locate | search | where","מצא | אתר | חפש | איפה",
"299","ass | asshole | cunt | dirty word | fart | fuck | fucking | mother fucker | piss | pussy | screw | shit | tit | tits","",
"300","hello | hi","שלום | היי",
"301","dragon | monster | snowman | yeti","דרקון | מפלצת | איש שלג | יטי",
"302","eagle","נשר",
"303","count","ספור",
"304","body","גוף",
"400","dig","חפור",
"401","mice | mouse | rat | rats","עכברים | עכבר | עכברוש | עכברושים",
"402","shark | sharks","כריש | כרישים",
"403","moat","חפיר",
"404","drinks | round | round of drinks","משקאות | סיבוב | סיבוב משקאות",
"800","clock","שעון",
"801","visible","נראה",
"802","clear","נקה",
"803","henceforth","מהיום",
"804","lightning | rain","ברק | גשם",
"805","thunder","רעם",
"806","yes","כן",
"807","no","לא",
"808","coin purse | purse","ארנק מטבעות | ארנק",
"809","bag","שק",
"813","nothing","כלום",
